,just,type,end,start,collumnname,tablename,filename
1,L ,AN,5,1,INTERNAL SEQUENCE NUMBER,STAR,Stardp.txt
2,L ,AN,10,6,NOT USED,STAR,
3,L ,AN,12,11,FIX/FACILITY TYPE CODE,STAR,
4,L ,AN,13,13,NOT USED,STAR,
5,L ,AN,21,14,FIX/NAVAID/AIRPORT LATITUDE,STAR,
6,L ,AN,30,22,FIX/NAVAID/AIRPORT LONGITUDE,STAR,
7,L ,AN,36,31,FIX/NAVAID/AIRPORT IDENTIFIER,STAR,
8,L ,AN,38,37,ICAO REGION CODE - FIX ONLY,STAR,
9,L ,AN,51,39,STAR COMPUTER CODE,STAR,
10,L ,AN,161,52,STAR/TRANSITION NAME,STAR,
11,L ,AN,223,162,AIRWAYS/NAVAIDS USING NUMBERED FIX,STAR,
12,L ,AN,5,1,INTERNAL SEQUENCE NUMBER,DP,
13,L ,AN,10,6,NOT USED,DP,
14,L ,AN,12,11,FIX/FACILITY TYPE CODE,DP,
15,L ,AN,13,13,NOT USED,DP,
16,L ,AN,21,14,FIX/NAVAID/AIRPORT LATITUDE,DP,
17,L ,AN,30,22,FIX/NAVAID/AIRPORT LONGITUDE,DP,
18,L ,AN,36,31,FIX/NAVAID/AIRPORT IDENTIFIER,DP,
19,L ,AN,38,37,ICAO REGION CODE - FIX ONLY,DP,
20,L ,AN,51,39,DP COMPUTER CODE,DP,
21,L ,AN,161,52,DP/TRANSITION/BODY NAME,DP,
22,L ,AN,223,162,AIRWAYS/NAVAIDS USING NUMBERED FIX,DP,
