,just,type,end,start,collumnname,tablename,filename
95,L ,AN,17,9,RADAR/ OR /NON-RADAR/ PRIMARY APPROACH CAL,TWR5,TWR.txt
97,L ,AN,35,27,RADAR/ OR /NON-RADAR/ PRIMARY DEPARTURE CA,TWR5,
96,L ,AN,26,18,RADAR/ OR /NON-RADAR/ SECONDARY APPROACH C,TWR5,
98,L ,AN,44,36,RADAR/ OR /NON-RADAR/ SECONDARY DEPARTURE ,TWR5,
125,L ,AN,267,257,AIRPORT LATITUDE (SECONDS)  ,TWR7,
124,L ,AN,256,243,AIRPORT LATITUDE(FORMATTED)  ,TWR7,
126,L ,AN,281,268,AIRPORT LONGITUDE (FORMATTED)  ,TWR7,
127,L ,AN,292,282,AIRPORT LONGITUDE (SECONDS)  ,TWR7,
10,L ,AN,168,155,AIRPORT REFERENCE POINT LATITUDE (FORMATTED,TWR1,
11,L ,AN,179,169,AIRPORT REFERENCE POINT LATITUDE (SECONDS) ,TWR1,
12,L ,AN,193,180,AIRPORT REFERENCE POINT LONGITUDE (FORMATTE,TWR1,
13,L ,AN,204,194,AIRPORT REFERENCE POINT LONGITUDE (SECONDS),TWR1,
29,L ,AN,489,479,AIRPORT SURVEILLANCE RADAR LATITUDE (SECOND,TWR1,
28,L ,AN,478,465,AIRPORT SURVEILLANCE RADAR LATITUDE(FORMATT,TWR1,
30,L ,AN,503,490,AIRPORT SURVEILLANCE RADAR LONGITUDE (FORMA,TWR1,
31,L ,AN,514,504,AIRPORT SURVEILLANCE RADAR LONGITUDE (SECON,TWR1,
144,L ,AN,312,13,AIRSPACE HOURS  ,TWR8,
8,L ,AN,104,65,ASSOCIATED CITY NAME  ,TWR1,
6,L ,AN,62,33,ASSOCIATED STATE NAME  ,TWR1,
7,L ,AN,64,63,ASSOCIATED STATE POST OFFICE  CODE  ,TWR1,
149,L ,AN,212,13,ATIS HOURS OF OPERATION IN LOCAL TIME,TWR9,
151,L ,AN,330,313,ATIS PHONE NUMBER,TWR9,
148,R , N,12,9,ATIS SERIAL NUMBER,TWR9,
48,L ,AN,1608,961,BLANK,TWR1,
88,L ,AN,1608,1395,BLANK  ,TWR3,
92,L ,AN,1608,109,BLANK  ,TWR4,
107,L ,AN,1608,885,BLANK  ,TWR5,
112,L ,AN,1608,814,BLANK  ,TWR6,
137,L ,AN,1608,523,BLANK  ,TWR7,
145,L ,AN,1608,313,BLANK  ,TWR8,
152,L ,AN,1608,331,BLANK  ,TWR9,
140,L ,AN,9,9,CLASS B AIRSPACE (EX: Y) ,TWR8,
141,L ,AN,10,10,CLASS C AIRSPACE (EX: Y)  ,TWR8,
142,L ,AN,11,11,CLASS D AIRSPACE (EX: Y)  ,TWR8,
143,L ,AN,12,12,CLASS E AIRSPACE (EX: Y)  ,TWR8,
26,L ,AN,461,460,COUNTRY/STATE  POST OFFICE CODE WHEN FACILI,TWR1,
21,L ,AN,324,310,DIRECTION FINDING EQUIPMENT (TYPE)  ,TWR1,
5,L ,AN,32,30,FAA REGION CODE  ,TWR1,
27,L ,AN,464,462,FAA REGION CODE WHEN THE FACILITY NOT LOCAT,TWR1,
16,L ,AN,250,239,FACILITY TYPE  ,TWR1,
128,L ,AN,296,293,FLIGHT SERVICE STATION IDENTIFIER (EX: WJF),TWR7,
129,L ,AN,326,297,FLIGHT SERVICE STATION NAME  ,TWR7,
62,L ,AN,102,53,FREQUENCY 1,TWR3,
64,L ,AN,196,147,FREQUENCY 2,TWR3,
66,L ,AN,290,241,FREQUENCY 3,TWR3,
68,L ,AN,384,335,FREQUENCY 4,TWR3,
70,L ,AN,478,429,FREQUENCY 5,TWR3,
72,L ,AN,572,523,FREQUENCY 6,TWR3,
74,L ,AN,666,617,FREQUENCY 7,TWR3,
76,L ,AN,760,711,FREQUENCY 8,TWR3,
78,L ,AN,854,805,FREQUENCY 9,TWR3,
61,L ,AN,52,9,FREQUENCY USE 1,TWR3,
63,L ,AN,146,103,FREQUENCY USE 2,TWR3,
65,L ,AN,240,197,FREQUENCY USE 3,TWR3,
67,L ,AN,334,291,FREQUENCY USE 4,TWR3,
69,L ,AN,428,385,FREQUENCY USE 5,TWR3,
71,L ,AN,522,479,FREQUENCY USE 6,TWR3,
73,L ,AN,616,573,FREQUENCY USE 7,TWR3,
75,L ,AN,710,667,FREQUENCY USE 8,TWR3,
77,L ,AN,804,761,FREQUENCY USE 9,TWR3,
79,L ,AN,914,855,FREQUENCY USE 10,TWR3,
80,L ,AN,974,915,FREQUENCY USE 11,TWR3,
81,L ,AN,1034,975,FREQUENCY USE 12,TWR3,
82,L ,AN,1094,1035,FREQUENCY USE 13,TWR3,
83,L ,AN,1154,1095,FREQUENCY USE 14,TWR3,
84,L ,AN,1214,1155,FREQUENCY USE 15,TWR3,
85,L ,AN,1274,1215,FREQUENCY USE 16,TWR3,
86,L ,AN,1334,1275,FREQUENCY USE 17,TWR3,
87,L ,AN,1394,1335,FREQUENCY USE 18,TWR3,
53,L ,AN,608,409,HOURS OF MILITARY OPERATIONS CONDUCTED  ,TWR2,
54,L ,AN,808,609,HOURS OF OPERATION OF PRIMARY APPROACH  ,TWR2,
56,L ,AN,1208,1009,HOURS OF OPERATION OF PRIMARY DEPARTURE  ,TWR2,
55,L ,AN,1008,809,HOURS OF OPERATION OF SECONDARY APPROACH  ,TWR2,
57,L ,AN,1408,1209,HOURS OF OPERATION OF SECONDARY DEPARTURE  ,TWR2,
51,L ,AN,208,9,HOURS OF OPERATION OF THE MILITARY  ,TWR2,
52,L ,AN,408,209,HOURS OF OPERATION OF THE MILITARY  ,TWR2,
58,L ,AN,1608,1409,HOURS OF TOWER OPERATION IN LOCAL TIME  ,TWR2,
3,L ,AN,18,9,INFORMATION EFFECTIVE DATE (MM/DD/YYYY)  ,TWR1,
4,L ,AN,29,19,LANDING FACILITY SITE NUMBER  ,TWR1,
32,L ,AN,528,515,LATITUDE OF DIRECTION FINDING ANTENNA (FORM,TWR1,
33,L ,AN,539,529,LATITUDE OF DIRECTION FINDING ANTENNA (SECO,TWR1,
35,L ,AN,564,554,LONGITUDE OF DIRECTION FINDING ANTENNA (SEC,TWR1,
34,L ,AN,553,540,LONGITUDE OF DIRECTION FINDING ANTENNA(FORM,TWR1,
134,L ,AN,412,373,MASTER AIRPORT ASSOCIATED CITY (EX: EWARDS),TWR7,
132,L ,AN,370,341,MASTER AIRPORT ASSOCIATED STATE NAME  ,TWR7,
133,L ,AN,372,371,MASTER AIRPORT ASSOCIATED STATE POST OFFICE,TWR7,
131,L ,AN,340,338,MASTER AIRPORT FAA REGION CODE (EX: ACE)  ,TWR7,
130,L ,AN,337,327,MASTER AIRPORT INFORMATION (EX: 01526.8*A) ,TWR7,
19,L ,AN,259,256,MASTER AIRPORT LOCATION IDENTIFIER (EX: LAX,TWR1,
135,L ,AN,462,413,MASTER AIRPORT NAME  (EX: EDWARDS AFB)  ,TWR7,
91,L ,AN,108,9,MASTER AIRPORT SERVICES.  ,TWR4,
22,L ,AN,374,325,NAME OF ASSOCIATED LANDING FACILITY WHEN TH,TWR1,
20,L ,AN,309,260,NAME OF MASTER AIRPORT FURNISHING SERVICES ,TWR1,
25,L ,AN,459,435,NAME OF STATE/COUNTRY WHEN FACILITY NOT LOC,TWR1,
40,L ,AN,764,725,NAME OF THE AGENCY OPERATING THE PRIMARY  ,TWR1,
39,L ,AN,724,685,NAME OF THE AGENCY OPERATING THE SECONDARY ,TWR1,
41,L ,AN,804,765,NAME OF THE AGENCY OPERATING THE SECONDARY ,TWR1,
37,L ,AN,644,605,NAME OF THE AGENCY THAT OPERATES MILITARY  ,TWR1,
38,L ,AN,684,645,NAME OF THE AGENCY THAT OPERATES THE PRIMAR,TWR1,
36,L ,AN,604,565,NAME OF THE AGENCY THAT OPERATES THE TOWER ,TWR1,
23,L ,AN,414,375,NAME OF THE ASSOCIATED CITY WHEN THE FACILI,TWR1,
24,L ,AN,434,415,NAME OF THE STATE OR PROVINCE WHEN THE FACI,TWR1,
17,L ,AN,252,251,NUMBER OF HOURS OF DAILY OPERATION  ,TWR1,
18,L ,AN,255,253,NUMBER OF HOURS OF DAILY OPERATION  ,TWR1,
9,L ,AN,154,105,OFFICIAL AIRPORT NAME  ,TWR1,
150,L ,AN,312,213,"OPTIONAL DESCRIPTION OF PURPOSE, FULFILLED ",TWR9,
100,L ,AN,254,55,RADAR HOURS OF OPERATION(1) (EX: 0700-2300),TWR5,
102,L ,AN,464,265,RADAR HOURS OF OPERATION(2)  ,TWR5,
104,L ,AN,674,475,RADAR HOURS OF OPERATION(3)  ,TWR5,
106,L ,AN,884,685,RADAR HOURS OF OPERATION(4)  ,TWR5,
43,L ,AN,856,831,RADIO CALL NAME FOR MILITARY OPERATIONS AT ,TWR1,
44,L ,AN,882,857,RADIO CALL OF FACILITY THAT FURNISHES PRIMA,TWR1,
46,L ,AN,934,909,RADIO CALL OF FACILITY THAT FURNISHES PRIMA,TWR1,
47,L ,AN,960,935,RADIO CALL OF FACILITY THAT TAKES OVER  ,TWR1,
45,L ,AN,908,883,RADIO CALL OF FACILITY THAT TAKES OVER APPR,TWR1,
42,L ,AN,830,805,RADIO CALL USED BY PILOT TO CONTACT TOWER  ,TWR1,
49,L ,AN,4,1,RECORD IDENTIFIER  ,TWR2,
59,L ,AN,4,1,RECORD IDENTIFIER  ,TWR3,
89,L ,AN,4,1,RECORD IDENTIFIER  ,TWR4,
93,L ,AN,4,1,RECORD IDENTIFIER  ,TWR5,
108,L ,AN,4,1,RECORD IDENTIFIER  ,TWR6,
113,L ,AN,4,1,RECORD IDENTIFIER  ,TWR7,
138,L ,AN,4,1,RECORD IDENTIFIER  ,TWR8,
146,L ,AN,4,1,RECORD IDENTIFIER  ,TWR9,
1,L ,AN,4,1,RECORD TYPE INDICATOR.  ,TWR1,twr.txt
118,L ,AN,117,114,SATELLITE AIRPORT LOCATION IDENTIFIER  ,TWR7,
117,L ,AN,113,103,SATELLITE AIRPORT SITE NUMBER  ,TWR7,
123,L ,AN,242,193,SATELLITE ARPT NAME  ,TWR7,
122,L ,AN,192,153,SATELLITE ASSOCIATED CITY (EX: PALMDALE)  ,TWR7,
120,L ,AN,150,121,SATELLITE ASSOCIATED STATE NAME  ,TWR7,
121,L ,AN,152,151,SATELLITE ASSOCIATED STATE POST OFFICE CODE,TWR7,
119,L ,AN,120,118,SATELLITE FAA REGION CODE (EX: AWP)  ,TWR7,
115,L ,AN,52,9,SATELLITE FREQUENCY (EX: 126.1)  ,TWR7,
136,L ,AN,522,463,SATELLITE FREQUENCY (EX: 126.1) (NOT TRUNCA,TWR7,
116,L ,AN,102,53,SATELLITE FREQUENCY USE (EX: APCH/P DEP/P) ,TWR7,
2,L ,AN,8,5,TERMINAL COMMUNICATIONS FACILITY IDENTIFIER,TWR1,
50,L ,AN,8,5,TERMINAL COMMUNICATIONS FACILITY IDENTIFIER,TWR2,
60,L ,AN,8,5,TERMINAL COMMUNICATIONS FACILITY IDENTIFIER,TWR3,
90,L ,AN,8,5,TERMINAL COMMUNICATIONS FACILITY IDENTIFIER,TWR4,
94,L ,AN,8,5,TERMINAL COMMUNICATIONS FACILITY IDENTIFIER,TWR5,
109,L ,AN,8,5,TERMINAL COMMUNICATIONS FACILITY IDENTIFIER,TWR6,
114,L ,AN,8,5,TERMINAL COMMUNICATIONS FACILITY IDENTIFIER,TWR7,
139,L ,AN,8,5,TERMINAL COMMUNICATIONS FACILITY IDENTIFIER,TWR8,
147,L ,AN,8,5,TERMINAL COMMUNICATIONS FACILITY IDENTIFIER,TWR9,
14,L ,AN,208,205,TIE-IN FLIGHT SERVICE STATION (FSS) IDENTIF,TWR1,
15,L ,AN,238,209,TIE-IN FLIGHT SERVICE STATION (FSS) NAME  ,TWR1,
110,L ,AN,13,9,TOWER ELEMENT NUMBER  ,TWR6,
111,L ,AN,813,14,TOWER REMARK TEXT  ,TWR6,
99,L ,AN,54,45,TYPE OF RADAR AT THE TOWER(1)  ,TWR5,
101,L ,AN,264,255,TYPE OF RADAR AT THE TOWER(2)  ,TWR5,
103,L ,AN,474,465,TYPE OF RADAR AT THE TOWER(3)  ,TWR5,
105,L ,AN,684,675,TYPE OF RADAR AT THE TOWER(4)  ,TWR5,
