,just,type,end,start,collumnname,tablename,filename
1,L ,AN,5,1,WEATHER REPORTING LOCATION IDENTIFIER  ,WEATHER_REPORTING_LOCATION_IDENTIFIER,Wxl.txt
2,L ,AN,13,6,LATITUDE OF THE WEATHER REPORTING LOCATION ,WEATHER_REPORTING_LOCATION_IDENTIFIER,
3,L ,AN,22,14,LONGITUDE OF THE WEATHER REPORTING LOCATION,WEATHER_REPORTING_LOCATION_IDENTIFIER,
4,L ,AN,48,23,ASSOCIATED CITY  ,WEATHER_REPORTING_LOCATION_IDENTIFIER,
5,L ,AN,50,49,ASSOCIATED STATE (POST OFFICE CODE)  ,WEATHER_REPORTING_LOCATION_IDENTIFIER,
6,L ,AN,53,51,ASSOCIATED COUNTRY NUMERIC CODE (NON-US ONL,WEATHER_REPORTING_LOCATION_IDENTIFIER,
7,R , N,58,54,WEATHER REPORTING LOCATION ELEVATION - VALU,WEATHER_REPORTING_LOCATION_IDENTIFIER,
8,L ,AN,59,59,WEATHER REPORTING LOCATION ELEVATION - ACCU,WEATHER_REPORTING_LOCATION_IDENTIFIER,
9,L ,AN,119,60,"WEATHER SERVICES AVAILABLE AT LOCATION, UP ",WEATHER_REPORTING_LOCATION_IDENTIFIER,
10,L ,AN,121,120,BLANK  ,WEATHER_REPORTING_LOCATION_IDENTIFIER,
11,L ,AN,1,1,CONTINUATION RECORD INDICATOR  ,WEATHER_REPORTING_LOCATION_COLLECTIVES_RECORD_TYPE,
12,L ,AN,6,2,COLLECTIVE WEATHER SERVICE TYPE  ,WEATHER_REPORTING_LOCATION_COLLECTIVES_RECORD_TYPE,
13,L ,AN,7,7,COLLECTIVE NUMBER  ,WEATHER_REPORTING_LOCATION_COLLECTIVES_RECORD_TYPE,
14,L ,AN,121,8,BLANK.  ,WEATHER_REPORTING_LOCATION_COLLECTIVES_RECORD_TYPE,
15,L ,AN,1,1,CONTINUATION RECORD INDICATOR  ,WEATHER_REPORTING_LOCATION_COLLECTIVES_RECORD_TYPE,
16,L ,AN,6,2,AFFECTED AREA WEATHER SERVICE TYPE  ,WEATHER_REPORTING_LOCATION_COLLECTIVES_RECORD_TYPE,
17,L ,AN,120,7,AFFECTED AREAS - STATES/AREAS  ,WEATHER_REPORTING_LOCATION_COLLECTIVES_RECORD_TYPE,
18,L ,AN,121,121,BLANK  ,WEATHER_REPORTING_LOCATION_COLLECTIVES_RECORD_TYPE,
