collumnname,start,end,tablename,filename,format
    RECORD TYPE INDICATOR.,1,3,APT,APT.txt,
   LANDING FACILITY SITE NUMBER,4,14,APT,,
   LANDING FACILITY TYPE,15,27,APT,,
     LOCATION IDENTIFIER,28,31,APT,,
    INFORMATION EFFECTIVE DATE (MM/DD/YYYY),32,41,APT,,datea
     FAA REGION CODE,42,44,APT,,
    FAA DISTRICT OR FIELD OFFICE CODE,45,48,APT,,
     ASSOCIATED STATE POST OFFICE CODE,49,50,APT,,
     ASSOCIATED STATE NAME,51,70,APT,,
     ASSOCIATED COUNTY (OR PARISH) NAME,71,91,APT,,
     ASSOCIATED COUNTY'S STATE (POST OFFICE CODE),92,93,APT,,
     ASSOCIATED CITY NAME,94,133,APT,,
     OFFICIAL FACILITY NAME,134,183,APT,,
    AIRPORT OWNERSHIP TYPE,184,185,APT,,
    FACILITY USE,186,187,APT,,
    FACILITY OWNER'S NAME,188,222,APT,,
    OWNER'S ADDRESS,223,294,APT,,
"   OWNER'S CITY, STATE AND ZIP CODE",295,339,APT,,
    OWNER'S PHONE NUMBER,340,355,APT,,
    FACILITY MANAGER'S NAME,356,390,APT,,
    MANAGER'S ADDRESS,391,462,APT,,
"   MANAGER'S CITY, STATE AND ZIP CODE",463,507,APT,,
    MANAGER'S PHONE NUMBER,508,523,APT,,
    AIRPORT REFERENCE POINT LATITUDE (FORMATTED),524,538,APT,,geocord
   AIRPORT REFERENCE POINT LATITUDE (SECONDS),539,550,APT,,
    AIRPORT REFERENCE POINT LONGITUDE (FORMATTED),551,565,APT,,geocord
   AIRPORT REFERENCE POINT LONGITUDE (SECONDS),566,577,APT,,
   AIRPORT REFERENCE POINT DETERMINATION METHOD,578,578,APT,,
    AIRPORT ELEVATION  (NEAREST TENTH OF A FOOT MSL),579,585,APT,,
    AIRPORT ELEVATION DETERMINATION METHOD,586,586,APT,,
    MAGNETIC VARIATION AND DIRECTION,587,589,APT,,
    MAGNETIC VARIATION EPOCH YEAR,590,593,APT,,
   TRAFFIC PATTERN ALTITUDE  (WHOLE FEET AGL),594,597,APT,,
     AERONAUTICAL SECTIONAL CHART ON WHICH FACILITY,598,627,APT,,
     DISTANCE FROM CENTRAL BUSINESS DISTRICT OF,628,629,APT,,
     DIRECTION OF AIRPORT FROM CENTRAL BUSINESS,630,632,APT,,
    LAND AREA COVERED BY AIRPORT (ACRES),633,637,APT,,
  BOUNDARY ARTCC IDENTIFIER,638,641,APT,,
  BOUNDARY ARTCC (FAA) COMPUTER IDENTIFIER,642,644,APT,,
  BOUNDARY ARTCC NAME,645,674,APT,,
  RESPONSIBLE ARTCC IDENTIFIER,675,678,APT,,
