,just,type,end,start,collumnname,tablename,filename
1,L ,AN,4,1,RECORD TYPE INDICATOR.,ATS1,ATS.txt
2,L ,AN,6,5,ATS AIRWAY DESIGNATION.,ATS1,
3,L ,AN,18,7,ATS AIRWAY ID,ATS1,
4,L ,AN,19,19,RNAV INDICATOR,ATS1,
5,L ,AN,20,20,AIRWAY TYPE.,ATS1,
6,R , N,25,21,AIRWAY POINT SEQUENCE NUMBER,ATS1,
7,L ,AN,35,26,CHART/PUBLICATION EFFECTIVE DATE  (MM/DD/YY,ATS1,
8,L ,AN,42,36,TRACK ANGLE OUTBOUND - RNAV,ATS1,
9,R , N,47,43,DISTANCE TO CHANGEOVER POINT - RNAV,ATS1,
10,L ,AN,54,48,TRACK ANGLE INBOUND - RNAV,ATS1,
11,R , N,60,55,DISTANCE TO NEXT POINT IN NAUTICAL MILES,ATS1,
12,R ,AN,66,61,BEARING(RESERVED - PRESENTLY 000.00 ENTERED,ATS1,
13,R ,AN,72,67,SEGMENT MAGNETIC COURSE,ATS1,
14,R ,AN,78,73,SEGMENT MAGNETIC COURSE - OPPOSITE DIRECTIO,ATS1,
15,R ,AN,84,79,DISTANCE TO NEXT POINT IN SEGMENT IN NAUTIC,ATS1,
16,R , N,89,85,POINT TO POINT MINIMUM ENROUTE ALTITUDE(MEA,ATS1,
17,L ,AN,96,90,POINT TO POINT MINIMUM ENROUTE DIRECTION(ME,ATS1,
18,R ,AN,101,97,POINT TO POINT MINIMUM ENROUTE ALTITUDE(MEA,ATS1,
19,L ,AN,108,102,POINT TO POINT MINIMUM ENROUTE DIRECTION(ME,ATS1,
20,R ,AN,113,109,POINT TO POINT MAXIMUM AUTHORIZED ALTITUDE,ATS1,
21,L ,AN,118,114,POINT TO  POINT MINIMUM OBSTRUCTION CLEARAN,ATS1,
22,L ,AN,119,119,AIRWAY GAP FLAG INDICATOR,ATS1,
23,R , N,122,120,DISTANCE FROM THIS POINT TO THE CHANGEOVER,ATS1,
24,R , N,127,123,MINIMUM CROSSING ALTITUDE,ATS1,
25,L ,AN,134,128,DIRECTION OF CROSSING,ATS1,
26,R , N,139,135,MINIMUM CROSSING ALTITUDE - OPPOSITE DIRECT,ATS1,
27,L ,AN,146,140,DIRECTION OF CROSSING - OPPOSITE DIRECTION,ATS1,
28,L ,AN,147,147,GAP IN SIGNAL COVERAGE INDICATOR,ATS1,
29,L ,AN,148,148,U.S. AIRSPACE ONLY INDICATOR,ATS1,
30,R ,A ,153,149,NAVAID MAGNETIC VARIATION,ATS1,
31,L ,AN,156,154,NAVAID/FIX ARTCC - - - EX: ZTL,ATS1,
32,L ,AN,196,157,RESERVED(TO POINT-PART95),ATS1,
33,L ,AN,246,197,RESERVED(NEXT MEA POINT-PART95),ATS1,
