,just,type,end,start,collumnname,tablename,filename
1,L ,AN,4,1,RECORD TYPE INDICATOR.,AWY1,awy.txt
2,L ,AN,9,5,AIRWAY DESIGNATION.,AWY1,
3,L ,AN,10,10,AIRWAY TYPE.,AWY1,
4,R , N,15,11,AIRWAY POINT SEQUENCE NUMBER,AWY1,
5,L ,AN,25,16,CHART/PUBLICATION EFFECTIVE DATE  (MM/DD/YY,AWY1,
6,L ,AN,32,26,TRACK ANGLE OUTBOUND - RNAV,AWY1,
7,R , N,37,33,DISTANCE TO CHANGEOVER POINT - RNAV,AWY1,
8,L ,AN,44,38,TRACK ANGLE INBOUND - RNAV,AWY1,
9,R , N,50,45,DISTANCE TO NEXT POINT IN NAUTICAL MILES,AWY1,
10,R ,AN,56,51,BEARING(RESERVED - PRESENTLY 000.00 ENTERED,AWY1,
11,R ,AN,62,57,SEGMENT MAGNETIC COURSE,AWY1,
12,R ,AN,68,63,SEGMENT MAGNETIC COURSE - OPPOSITE DIRECTIO,AWY1,
13,R ,AN,74,69,DISTANCE TO NEXT POINT IN SEGMENT IN NAUTIC,AWY1,
14,R , N,79,75,POINT TO POINT MINIMUM ENROUTE ALTITUDE(MEA,AWY1,
15,L ,AN,85,80,POINT TO POINT MINIMUM ENROUTE DIRECTION(ME,AWY1,
16,R ,AN,90,86,POINT TO POINT MINIMUM ENROUTE ALTITUDE(MEA,AWY1,
17,L ,AN,96,91,POINT TO POINT MINIMUM ENROUTE DIRECTION(ME,AWY1,
18,R ,AN,101,97,POINT TO POINT MAXIMUM AUTHORIZED ALTITUDE,AWY1,
19,L ,AN,106,102,POINT TO  POINT MINIMUM OBSTRUCTION CLEARAN,AWY1,
20,L ,AN,107,107,AIRWAY GAP FLAG INDICATOR,AWY1,
21,R , N,110,108,DISTANCE FROM THIS POINT TO THE CHANGEOVER,AWY1,
22,R , N,115,111,MINIMUM CROSSING ALTITUDE,AWY1,
23,L ,AN,122,116,DIRECTION OF CROSSING,AWY1,
24,R , N,127,123,MINIMUM CROSSING ALTITUDE - OPPOSITE DIRECT,AWY1,
25,L ,AN,134,128,DIRECTION OF CROSSING - OPPOSITE DIRECTION,AWY1,
