,just,type,end,start,collumnname,tablename,filename
1,L ,AN,4,1,COMMUNICATIONS OUTLET IDENT,COM,COM.txt
2,L ,AN,11,5,COMMUNICATIONS OUTLET TYPE  ,COM,
3,L ,AN,15,12,ASSOCIATED NAVAID IDENT,COM,
4,L ,AN,17,16,"ASSOCIATED NAVAID TYPE (R=NDB, C=VORTAC, V=",COM,
5,L ,AN,43,18,ASSOCIATED NAVAID CITY,COM,
6,L ,AN,63,44,ASSOCIATED NAVAID STATE,COM,
7,L ,AN,89,64,ASSOCIATED NAVAID NAME,COM,
8,L ,AN,103,90,ASSOCIATED NAVAID LATITUDE,COM,
9,L ,AN,117,104,ASSOCIATED NAVAID LONGITUDE,COM,
10,L ,AN,143,118,COMMUNICATIONS OUTLET CITY,COM,
11,L ,AN,163,144,COMMUNICATIONS OUTLET STATE,COM,
12,L ,AN,183,164,COMMUNICATIONS OUTLET REGION NAME,COM,
13,L ,AN,186,184,COMMUNICATIONS OUTLET REGION CODE,COM,
14,L ,AN,200,187,COMMUNICATIONS OUTLET LATITUDE,COM,
15,L ,AN,214,201,COMMUNICATIONS OUTLET LONGITUDE,COM,
16,L ,AN,240,215,COMMUNICATIONS OUTLET CALL,COM,
17,L ,AN,384,241,COMMUNICATIONS OUTLET FREQUENCIES,COM,
18,L ,AN,388,385,FSS IDENT,COM,
19,L ,AN,418,389,FSS IDENT*FSS NAME,COM,
20,L ,AN,422,419,ALTERNATE FSS IDENT,COM,
21,L ,AN,452,423,ALTERNATE FSS IDENT*ALTERNATE FSS NAME,COM,
22,L ,AN,512,453,OPERATIONAL HOURS IN 3 FIELDS OF 20 CHARACT,COM,
23,L ,AN,513,513,OWNER CODE,COM,
24,L ,AN,582,514,OWNER NAME,COM,
25,L ,AN,583,583,OPERATOR CODE,COM,
26,L ,AN,652,584,OPERATOR NAME,COM,
27,L ,AN,660,653,CHARTS IN 4 FIELDS OF 2 CHARACTERS EACH,COM,
28,L ,AN,662,661,STANDARD TIME ZONE,COM,
29,L ,AN,682,663,STATUS,COM,
30,L ,AN,693,683,STATUS DATE,COM,
