,just,type,end,start,collumnname,tablename,filename
1,L , A,4,1,RECORD TYPE INDICATOR.,FIX1,fix.txt
2,L , A,34,5,RECORD IDENTIFIER (FIX ID),FIX1,
3,L , A,64,35,RECORD IDENTIFIER (FIX STATE NAME),FIX1,
4,L , A,66,65,ICAO REGION CODE,FIX1,
5,L , A,80,67,GEOGRAPHICAL LATITUDE OF THE FIX.,FIX1,
6,L , A,94,81,GEOGRAPHICAL LONGITUDE OF THE FIX.,FIX1,
7,L , A,97,95,"CATEGORIZES THE FIX AS A MILITARY (MIL),",FIX1,
8,L , A,119,98,3 OR 4 LETTER IDENT*FACILITY TYPE*DIRECTION,FIX1,
9,L , A,141,120,AIRPORT ID*APPROACH-END-RWY*DISTANCE OF RAD,FIX1,
10,L , A,174,142,PREVIOUS NAME OF THE FIX BEFORE IT WAS RENA,FIX1,
11,L , A,212,175,CHARTING INFORMATION.,FIX1,
12,L , A,213,213,FIX TO BE PUBLISHED (Y = YES OR N = NO),FIX1,
13,L , A,228,214,FIX USE,FIX1,
14,L , A,233,229,NATIONAL AIRSPACE SYSTEM(NAS) IDENTIFIER FO,FIX1,
15,L , A,237,234,DENOTES HIGH ARTCC AREA OF JURISDICTION.,FIX1,
16,L , A,241,238,DENOTES LOW ARTCC AREA OF JURISDICTION.,FIX1,
17,L , A,271,242,FIX COUNTRY NAME (OUTSIDE CONUS),FIX1,
18,L , A,272,272,PITCH (Y = YES OR N = NO),FIX1,
19,L , A,273,273,CATCH (Y = YES OR N = NO),FIX1,
20,L , A,274,274,SUA/ATCAA (Y = YES OR N = NO),FIX1,
21,L , A,466,275,BLANKS,FIX1,
22,L , A,4,1,RECORD TYPE INDICATOR.,FIX2,
23,L , A,34,5,RECORD IDENTIFIER (FIX NAME),FIX2,
24,L , A,64,35,RECORD IDENTIFIER (FIX STATE NAME),FIX2,
25,L , A,66,65,ICAO REGION CODE,FIX2,
26,L , A,89,67,"LOCATION-IDENTIFIER, FACILITY TYPE, AND RAD",FIX2,
27,L ,AN,466,90,BLANKS,FIX2,
28,L , A,4,1,RECORD TYPE INDICATOR.,FIX3,
29,L , A,34,5,RECORD IDENTIFIER (FIX NAME),FIX3,
30,L , A,64,35,RECORD IDENTIFIER (FIX STATE NAME),FIX3,
31,L , A,66,65,ICAO REGION CODE,FIX3,
32,L , A,89,67,3 OR 4 LETTER IDENT*FACILITY TYPE*DIRECTION,FIX3,
33,L , A,466,90,BLANKS,FIX3,
34,L , A,4,1,RECORD TYPE INDICATOR.,FIX4,
35,L , A,34,5,RECORD IDENTIFIER (FIX NAME),FIX4,
36,L , A,64,35,RECORD IDENTIFIER (FIX STATE NAME),FIX4,
37,L , A,66,65,ICAO REGION CODE,FIX4,
38,L , A,166,67,FIELD LABEL,FIX4,
39,L , A,466,167,REMARK TEXT,FIX4,
40,L , A,4,1,RECORD TYPE INDICATOR.,FIX5,
41,L , A,34,5,RECORD IDENTIFIER (FIX NAME),FIX5,
42,L , A,64,35,RECORD IDENTIFIER (FIX STATE NAME),FIX5,
43,L , A,66,65,ICAO REGION CODE,FIX5,
44,L , A,88,67,CHART ON WHICH FIX IS TO BE DEPICTED,FIX5,
45,L , A,466,89,BLANKS,FIX5,
