,just,type,end,start,collumnname,tablename,filename
1,L ,AN,4,1,RECORD TYPE INDICATOR.,ILS1,ils.txt
2,L ,AN,15,5,AIRPORT SITE NUMBER IDENTIFIER. (EX. 04508.,ILS1,
3,L ,AN,18,16,"ILS RUNWAY END IDENTIFIER. (EX: 18,36L)",ILS1,
4,L ,AN,28,19,ILS SYSTEM TYPE,ILS1,
5,L ,AN,34,29,IDENTIFICATION CODE OF ILS.,ILS1,
6,L ,AN,44,35,INFORMATION EFFECTIVE DATE (MM/DD/YYYY),ILS1,
7,L ,AN,94,45,AIRPORT NAME.(EX: CHICAGO O'HARE INTL),ILS1,
8,L ,AN,134,95,ASSOCIATED CITY.(EX:  CHICAGO),ILS1,
9,L ,AN,136,135,TWO LETTER POST OFFICE CODE FOR THE STATE.,ILS1,
10,L ,AN,156,137,STATE NAME.(EX:  ILLINOIS),ILS1,
11,L ,AN,159,157,"FAA REGION CODE.(EXAMPLE, ACE = CENTRAL)",ILS1,
12,L ,AN,163,160,AIRPORT IDENTIFIER.,ILS1,
13,R , N,168,164,ILS RUNWAY LENGTH IN WHOLE FEET. (EX:  4000,ILS1,
14,R , N,172,169,ILS RUNWAY WIDTH IN WHOLE FEET. (EX:  100),ILS1,
15,L ,AN,181,173,"CATEGORY OF THE ILS. (I,II,IIIA)",ILS1,
16,L ,AN,231,182,NAME OF OWNER OF THE FACILITY. (EX: U.S. NA,ILS1,
17,L ,AN,281,232,NAME OF THE ILS FACILITY OPERATOR.,ILS1,
18,L ,AN,287,282,ILS APPROACH BEARING IN DEGREES MAGNETIC.,ILS1,
19,L ,AN,290,288,THE MAGNETIC VARIATION AT THE ILS FACILITY.,ILS1,
20,L ,AN,378,291,BLANK.,ILS1,
21,L ,AN,4,1,RECORD TYPE INDICATOR.,ILS2,
22,L ,AN,15,5,AIRPORT SITE NUMBER IDENTIFIER. (EX. 04508.,ILS2,
23,L ,AN,18,16,"ILS RUNWAY END IDENTIFIER. (EX: 18,36L)",ILS2,
24,L ,AN,28,19,ILS SYSTEM TYPE (SEE ILS1 RECORD TYPE FOR L,ILS2,
25,L ,AN,50,29,OPERATIONAL STATUS OF LOCALIZER (OPERATIONA,ILS2,
26,L ,AN,60,51,EFFECTIVE DATE OF LOCALIZER OPERATIONAL STA,ILS2,
27,L ,AN,74,61,LATITUDE OF LOCALIZER ANTENNA.(FORMATTED),ILS2,
28,L ,AN,85,75,LATITUDE OF LOCALIZER ANTENNA.(ALL SECONDS),ILS2,
29,L ,AN,99,86,LONGITUDE OF LOCALIZER ANTENNA.(FORMATTED),ILS2,
30,L ,AN,110,100,LONGITUDE OF LOCALIZER ANTENNA.(ALL SECONDS,ILS2,
31,L ,AN,112,111,CODE INDICATING SOURCE OF LATITUDE/LONGITUD,ILS2,
32,R , N,119,113,DISTANCE OF LOCALIZER ANTENNA,ILS2,
33,R , N,123,120,DISTANCE OF LOCALIZER ANTENNA FROM RUNWAY,ILS2,
34,L ,AN,124,124,DIRECTION OF LOCALIZER ANTENNA FROM RUNWAY,ILS2,
35,L ,AN,126,125,CODE INDICATING SOURCE OF DISTANCE,ILS2,
36,R , N,133,127,SITE ELEVATION OF LOCALIZER ANTENNA,ILS2,
37,L ,AN,140,134,LOCALIZER FREQUENCY (MHZ). (EX: 108.10),ILS2,
38,L ,AN,155,141,"LOCALIZER BAcK COURSE STATUS (RESTRICTED,",ILS2,
39,R ,AN,160,156,LOCALIZER COURSE WIDTH.(DEGREES AND HUNDRED,ILS2,
40,R ,AN,167,161,LOCALIZER COURSE WIDTH AT THRESHOLD.,ILS2,
41,R , N,174,168,LOCALIZER DISTANCE FROM STOP END OF RWY. (F,ILS2,
42,L ,AN,175,175,LOCALIZER DIRECTION FROM STOP END OF RWY.,ILS2,
43,L ,AN,177,176,LOCALIZER SERVICES CODE,ILS2,
44,L ,AN,378,178,BLANK.,ILS2,
45,L ,AN,4,1,RECORD TYPE INDICATOR.,ILS3,
46,L ,AN,15,5,AIRPORT SITE NUMBER IDENTIFIER. (EX. 04508.,ILS3,
47,L ,AN,18,16,"ILS RUNWAY END IDENTIFIER. (EX: 18,36L)",ILS3,
48,L ,AN,28,19,ILS SYSTEM TYPE (SEE ILS1 RECORD TYPE FOR L,ILS3,
49,L ,AN,50,29,OPERATIONAL STATUS OF GLIDE SLOPE (OPERATIO,ILS3,
50,L ,AN,60,51,EFFECTIVE DATE OF GLIDE SLOPE OPERATIONAL S,ILS3,
51,L ,AN,74,61,LATITUDE OF GLIDE SLOPE TRANSMITTER ANTENNA,ILS3,
52,L ,AN,85,75,LATITUDE OF GLIDE SLOPE TRANSMITTER ANTENNA,ILS3,
53,L ,AN,99,86,LONGITUDE OF GLIDE SLOPE TRANSMITTER ANTENN,ILS3,
54,L ,AN,110,100,LONGITUDE OF GLIDE SLOPE TRANSMITTER ANTENN,ILS3,
55,L ,AN,112,111,CODE INDICATING SOURCE OF LATITUDE/LONGITUD,ILS3,
56,R , N,119,113,DISTANCE OF GLIDE SLOPE TRANSMITTER ANTENNA,ILS3,
57,R , N,123,120,DISTANCE OF GLIDE SLOPE TRANSMITTER ANTENNA,ILS3,
58,L ,AN,124,124,DIRECTION OF GLIDE SLOPE TRANSMITTER ANTENN,ILS3,
59,L ,AN,126,125,CODE INDICATING SOURCE OF DISTANCE,ILS3,
60,R , N,133,127,SITE ELEVATION OF GLIDE SLOPE TRANSMITTER A,ILS3,
61,L ,AN,148,134,GLIDE SLOPE CLASS/TYPE.,ILS3,
62,L ,AN,153,149,GLIDE SLOPE ANGLE IN DEGREES,ILS3,
63,L ,AN,160,154,GLIDE SLOPE TRANSMISSION FREQUENCY.,ILS3,
64,R , N,168,161,ELEVATION OF RUNWAY AT POINT ADJACENT TO TH,ILS3,
65,L ,AN,378,169,BLANK.,ILS3,
66,L ,AN,4,1,RECORD TYPE INDICATOR.,ILS4,
67,L ,AN,15,5,AIRPORT SITE NUMBER IDENTIFIER. (EX. 04508.,ILS4,
68,L ,AN,18,16,"ILS RUNWAY END IDENTIFIER. (EX: 18,36L)",ILS4,
69,L ,AN,28,19,ILS SYSTEM TYPE (SEE ILS1 RECORD TYPE FOR L,ILS4,
70,L ,AN,50,29,"OPERATIONAL STATUS OF DME (OPERATIONAL IFR,",ILS4,
71,L ,AN,60,51,EFFECTIVE DATE OF DME OPERATIONAL STATUS.,ILS4,
72,L ,AN,74,61,LATITUDE OF DME TRANSPONDER ANTENNA.,ILS4,
73,L ,AN,85,75,LATITUDE OF DME TRANSPONDER ANTENNA.,ILS4,
