,just,type,end,start,collumnname,tablename,filename
1,L ,AN,4,1,RECORD TYPE INDICATOR.  ,MTR1,mtr.txt
2,L ,AN,7,5,ROUTE TYPE.  ,MTR1,
3,R , N,12,8,ROUTE IDENTIFIER.  ,MTR1,
4,L ,AN,20,13,PUBLICATION EFFECTIVE DATE YYYYMMDD  ,MTR1,
5,L ,AN,23,21,FAA REGION CODE  ,MTR1,
6,L ,AN,103,24,ARTCC IDENT. ,MTR1,
7,L ,AN,263,104,ALL FLIGHT SERVICE STATION (FSS) IDENTS  ,MTR1,
8,L ,AN,438,264,TIMES OF USE TEXT INFORMATION. ,MTR1,
9,L ,AN,514,439,BLANKS ,MTR1,
10,R , N,519,515,SORT SEQUENCE NUMBER FOR RECORD  ,MTR1,
11,L ,AN,4,1,RECORD TYPE INDICATOR.  ,MTR2,
12,L ,AN,7,5,ROUTE TYPE.  ,MTR2,
13,R , N,12,8,ROUTE IDENTIFIER.  ,MTR2,
14,L ,AN,112,13,STANDARD OPERATING PROCEDURE TEXT  ,MTR2,
15,L ,AN,514,113,BLANKS  ,MTR2,
16,R , N,519,515,SORT SEQUENCE NUMBER FOR RECORD  ,MTR2,
17,L ,AN,4,1,RECORD TYPE INDICATOR.  ,MTR3,
18,L ,AN,7,5,ROUTE TYPE.  ,MTR3,
19,R , N,12,8,ROUTE IDENTIFIER.  ,MTR3,
20,L ,AN,112,13,ROUTE WIDTH DESCRIPTION TEXT  ,MTR3,
21,L ,AN,514,113,BLANKS  ,MTR3,
22,R , N,519,515,RECORD SORT SEQUENCE NUMBER  ,MTR3,
23,L ,AN,4,1,RECORD TYPE INDICATOR.  ,MTR4,
24,L ,AN,7,5,ROUTE TYPE.  ,MTR4,
25,R , N,12,8,ROUTE IDENTIFIER.  ,MTR4,
26,L ,AN,112,13,TERRAIN FOLLOWING OPERATIONS TEXT  ,MTR4,
27,L ,AN,514,113,BLANKS  ,MTR4,
28,R , N,519,515,RECORD SORT SEQUENCE NUMBER  ,MTR4,
29,L ,AN,4,1,RECORD TYPE INDICATOR.  ,MTR5,
30,L ,AN,7,5,ROUTE TYPE.  ,MTR5,
31,R , N,12,8,ROUTE IDENTIFIER.  ,MTR5,
32,L ,AN,17,13,"ROUTE POINT ID. A,B,C, ETC.  ",MTR5,
33,L ,AN,245,18,SEGMENT DESCRIPTION TEXT LEADING UP TO THE ,MTR5,
34,L ,AN,473,246,SEGMENT DESCRIPTION TEXT LEAVING THE POINT ,MTR5,
35,L ,AN,477,474,IDENT OF RELATED NAVAID  ,MTR5,
36,L ,AN,482,478,BEARING OF NAVAID FROM POINT  ,MTR5,
37,L ,AN,486,483,DISTANCE OF NAVAID FROM POINT  ,MTR5,
38,R ,AN,500,487,LATITUDE LOCATION OF POINT  ,MTR5,
39,R ,AN,514,501,LONGITUDE LOCATION OF POINT  ,MTR5,
40,R , N,519,515,RECORD SORT SEQUENCE NUMBER  ,MTR5,
41,L ,AN,4,1,RECORD TYPE INDICATOR.  ,MTR6,
42,L ,AN,7,5,ROUTE TYPE.  ,MTR6,
43,R , N,12,8,ROUTE IDENTIFIER,MTR6,
44,L ,AN,14,13,AGENCY TYPE CODE,MTR6,
45,L ,AN,75,15,AGENCY ORGANIZATION NAME  ,MTR6,
46,L ,AN,105,76,AGENCY STATION ,MTR6,
47,L ,AN,140,106,AGENCY ADDRESS,MTR6,
48,L ,AN,170,141,AGENCY CITY,MTR6,
49,L ,AN,172,171,AGENCY STATE (ALPHA POST OFFICE CODE)  ,MTR6,
50,L ,AN,182,173,AGENCY ZIP CODE  ,MTR6,
51,L ,AN,222,183,AGENCY COMMERCIAL PHONE NUMBER  ,MTR6,
52,L ,AN,262,223,AGENCY DSN PHONE NUMBER,MTR6,
53,L ,AN,437,263,AGENCY HOURS,MTR6,
54,L ,AN,514,438,BLANKS  ,MTR6,
55,R , N,519,515,RECORD SORT SEQUENCE NUMBER,MTR6,
