,just,type,end,start,collumnname,tablename,filename
1,L ,AN,4,1,RECORD TYPE INDICATOR.,PFR1,pfr.txt
2,L ,AN,9,5,ORIGIN FACILITY LOCATION IDENTIFIER,PFR1,
3,L ,AN,14,10,DESTINATION FACILITY LOCATION IDENTIFIER,PFR1,
4,L ,AN,17,15,TYPE OF PREFERRED ROUTE (CODE),PFR1,
5,R , N,19,18,ROUTE IDENTIFIER SEQUENCE NUMBER (1-99),PFR1,
6,L ,AN,49,20,TYPE OF PREFERRED ROUTE (DESCRIPTION),PFR1,
7,L ,AN,124,50,PREFERRED ROUTE AREA DESCRIPTION,PFR1,
8,L ,AN,164,125,PREFERRED ROUTE ALTITUDE DESCRIPTION,PFR1,
9,L ,AN,214,165,AIRCRAFT ALLOWED/LIMITATIONS DESCRIPTION,PFR1,
10,L ,AN,229,215,EFFECTIVE HOURS (GMT) DESCRIPTION (1),PFR1,
11,L ,AN,244,230,EFFECTIVE HOURS (GMT) DESCRIPTION (2),PFR1,
12,L ,AN,259,245,EFFECTIVE HOURS (GMT) DESCRIPTION (3),PFR1,
13,L ,AN,279,260,ROUTE DIRECTION LIMITATIONS DESCRIPTION,PFR1,
14,L ,AN,299,280,"NAR TYPE (COMMON,NON-COMMON) ",PFR1,
15,L ,AN,304,300,DESIGNATOR,PFR1,
16,L ,AN,344,305,DESTINATION CITY,PFR1,
17,L ,AN,4,1,RECORD TYPE INDICATOR.,PFR2,
18,L ,AN,9,5,ORIGIN FACILITY LOCATION IDENTIFIER,PFR2,
19,L ,AN,14,10,DESTINATION FACILITY LOCATION IDENTIFIER,PFR2,
20,L ,AN,17,15,TYPE OF PREFERRED ROUTE (CODE),PFR2,
21,R , N,19,18,ROUTE IDENTIFIER SEQUENCE NUMBER (1-99),PFR2,
22,L ,AN,22,20,SEGMENT SEQUENCE NUMBER WITHIN THE ROUTE,PFR2,
23,L ,AN,70,23,"SEGMENT IDENTIFIER (NAVAID IDENT, AWY NUMBE",PFR2,
24,L ,AN,77,71,SEGMENT TYPE (DESCRIBED),PFR2,
25,L ,AN,79,78,FIX STATE CODE - POST OFFICE ALPHA CODE,PFR2,
26,L ,AN,81,80,ICAO REGION CODE,PFR2,
27,L ,AN,83,82,NAVAID FACILITY TYPE (CODE),PFR2,
28,L ,AN,103,84,NAVAID FACILITY TYPE (DESCRIBED),PFR2,
29,L ,AN,110,104,RADIAL AND DISTANCE FROM NAVAID,PFR2,
30,L ,AN,344,111,  BLANK,PFR2,
